parameter,technology,unit,year,value,source
renewable_lcoe,solar_pv,USD_per_MWh,2024,20,IEA Global Hydrogen Review 2025 Assumptions Annex
renewable_lcoe,solar_pv,USD_per_MWh,2030,15,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
renewable_full_load_hours,solar_pv,hours_per_year,2024,2550,IEA Global Hydrogen Review 2025 Assumptions Annex
renewable_lcoe,offshore_wind,USD_per_MWh,2024,63,IEA Global Hydrogen Review 2025 Assumptions Annex
renewable_lcoe,offshore_wind,USD_per_MWh,2030,44,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
renewable_full_load_hours,offshore_wind,hours_per_year,2024,4120,IEA Global Hydrogen Review 2025 Assumptions Annex
renewable_lcoe,onshore_wind,USD_per_MWh,2024,32,IEA Global Hydrogen Review 2025 Assumptions Annex
renewable_lcoe,onshore_wind,USD_per_MWh,2030,29,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
renewable_full_load_hours,onshore_wind,hours_per_year,2024,3130,IEA Global Hydrogen Review 2025 Assumptions Annex
electrolyser_capex_china,water_electrolysis,USD_per_kWe,2024,600-1200,IEA Global Hydrogen Review 2025 Assumptions Annex
electrolyser_capex_china,water_electrolysis,USD_per_kWe,2030,450-900,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
electrolyser_efficiency_lhv_china,water_electrolysis,percent,2024,58,IEA Global Hydrogen Review 2025 Assumptions Annex
electrolyser_efficiency_lhv_china,water_electrolysis,percent,2030,62,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
electrolyser_opex,water_electrolysis,percent_of_capex_per_year,2024,3.0,IEA Global Hydrogen Review 2025 Assumptions Annex
electrolyser_opex,water_electrolysis,percent_of_capex_per_year,2030,3.0,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
electrolyser_stack_lifetime,water_electrolysis,operating_hours,2024,50000,IEA Global Hydrogen Review 2025 Assumptions Annex
co2_transport_storage_cost_china,ccus,USD_per_tCO2,2024,15,IEA Global Hydrogen Review 2025 Assumptions Annex
co2_transport_storage_cost_china,ccus,USD_per_tCO2,2030,12,IEA Global Hydrogen Review 2025 Assumptions Annex STEPS
