city_id,city_name,province,latitude,longitude,city_type,chemical_demand_index,fuel_demand_index,construction_material_demand_index,renewable_power_index,port_access_index,storage_access_hint,notes
ORDOS,Ordos,Inner Mongolia,39.6086,109.7816,source_storage_renewable,0.7,0.6,0.7,0.9,0.1,high,Coal-chemical and Ordos basin storage/H2 candidate.
YULIN,Yulin,Shaanxi,38.2852,109.7346,source_storage_renewable,0.7,0.6,0.6,0.8,0.1,high,Coal-chemical and storage corridor candidate.
YINCHUAN,Yinchuan/Ningdong,Ningxia,38.4872,106.2309,source_storage_renewable,0.7,0.6,0.5,0.8,0.1,high,Ningdong energy-chemical base.
BAOTOU,Baotou,Inner Mongolia,40.6574,109.8403,source_storage_renewable,0.5,0.4,0.6,0.8,0.1,medium,Steel/rare earth and renewable H2 candidate.
WUHAI,Wuhai,Inner Mongolia,39.6737,106.8256,source_storage_renewable,0.6,0.4,0.6,0.8,0.1,medium,Coke/chemicals and renewable corridor.
HAMI,Hami,Xinjiang,42.8193,93.5151,renewable_conversion,0.4,0.3,0.3,1.0,0.1,low,Low-cost renewable/electrochemical/photochemical candidate.
TURPAN,Turpan,Xinjiang,42.9513,89.1895,renewable_conversion,0.3,0.2,0.3,1.0,0.1,low,High solar resource pilot candidate.
URUMQI,Urumqi,Xinjiang,43.8256,87.6168,renewable_conversion,0.6,0.5,0.5,0.8,0.2,low,Industrial demand near renewable base.
JIUQUAN,Jiuquan,Gansu,39.7328,98.4939,renewable_conversion,0.4,0.3,0.4,1.0,0.1,low,Wind/solar electrochemical candidate.
ZHANGYE,Zhangye,Gansu,38.9259,100.4498,renewable_conversion,0.3,0.2,0.4,0.9,0.1,low,Wind/solar conversion candidate.
JINCHANG,Jinchang,Gansu,38.5201,102.1880,renewable_conversion,0.5,0.3,0.4,0.9,0.1,low,Metals and renewable conversion candidate.
GOLMUD,Golmud/Haixi,Qinghai,36.4067,94.9281,renewable_conversion,0.3,0.2,0.3,1.0,0.1,low,Solar/H2 and photochemical pilot candidate.
XINING,Xining,Qinghai,36.6171,101.7782,renewable_conversion,0.5,0.4,0.5,0.8,0.1,low,Green H2 hub candidate.
ZHONGWEI,Zhongwei,Ningxia,37.5002,105.1968,renewable_conversion,0.4,0.3,0.4,0.9,0.1,medium,Renewable and energy storage corridor.
SHANGHAI,Shanghai,Shanghai,31.2304,121.4737,coastal_chemical_saf,1.0,1.0,0.9,0.5,1.0,low,Chemical/port/airport SAF offtake hub.
NINGBO,Ningbo-Zhoushan,Zhejiang,29.8683,121.5440,coastal_chemical_saf,0.95,0.95,0.8,0.6,1.0,low,Refinery/port/offshore wind candidate.
NANJING,Nanjing,Jiangsu,32.0603,118.7969,coastal_chemical,0.9,0.7,0.8,0.5,0.7,low,Chemicals and materials hub.
SUZHOU,Suzhou/Zhangjiagang,Jiangsu,31.2989,120.5853,coastal_chemical,0.9,0.7,0.8,0.5,0.7,low,Chemical/materials demand hub.
