year,selector_type,selector,capex_multiplier,fixed_opex_multiplier,variable_opex_multiplier,notes
2030,all,all,0.92,0.95,0.97,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2030,technology_family,storage,0.9,0.94,0.96,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2030,technology_family,mineralization,0.88,0.92,0.95,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2030,technology_family,thermochemical,0.86,0.9,0.94,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2030,technology_family,electrochemical,0.7,0.8,0.88,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2030,technology_family,photochemical,0.7,0.82,0.9,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,all,all,0.85,0.9,0.94,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,technology_family,storage,0.82,0.88,0.93,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,technology_family,mineralization,0.76,0.84,0.91,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,technology_family,thermochemical,0.72,0.82,0.9,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,technology_family,electrochemical,0.52,0.68,0.8,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2035,technology_family,photochemical,0.5,0.68,0.8,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2040,all,all,0.78,0.86,0.92,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2040,technology_family,storage,0.75,0.85,0.9,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
