pathway,technology_family,year,trl,availability_fraction,catalyst_lifetime_hours,stack_lifetime_hours,replacement_cost_fraction,performance_degradation_per_year,contingency_fraction,scale_exponent,min_commercial_scale_tco2_per_year,notes,evidence_upgrade_source,evidence_grade
geological_storage,storage,2030,8,0.92,0,0,0.02,0.002,0.12,0.80,1000000,Storage wellfield and compression reliability.,,C
mineralization,mineralization,2030,7,0.88,0,0,0.04,0.005,0.15,0.75,200000,Mineralization handling and reactor reliability.,,C
co2_to_methanol,thermochemical,2030,8,0.90,30000,0,0.08,0.006,0.18,0.70,500000,Mature methanol-like plant with CO2/H2 integration risk.,,C
rwgs_to_co,thermochemical,2030,7,0.88,22000,0,0.10,0.008,0.20,0.70,300000,RWGS catalyst/recycle reliability.,,C
co2_to_methane,thermochemical,2030,8,0.90,26000,0,0.08,0.006,0.18,0.70,300000,Sabatier methanation reliability.,,C
co2_h2_ft_saf,thermochemical,2030,6,0.82,18000,0,0.14,0.012,0.28,0.65,500000,FOAK CO2-derived FT-SAF.,,C
co2_methanol_to_jet_saf,thermochemical,2030,5,0.78,15000,0,0.16,0.015,0.32,0.65,300000,FOAK methanol-to-jet from CO2 methanol.,,C
electrolysis_to_co,electrochemical,2030,5,0.74,0,2000,0.26,0.035,0.35,0.85,50000,Evidence-upgraded: high-rate CO benchmark has 200 h demonstrated stability; commercial stack lifetime remains extrapolated.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,C
electrolysis_to_co,electrochemical,2040,5,0.84,0,12000,0.16,0.018,0.22,0.85,50000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_co,electrochemical,2050,5,0.88,0,30000,0.1,0.01,0.16,0.85,50000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_co,electrochemical,2060,5,0.9,0,50000,0.08,0.007,0.12,0.85,50000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
