year,region,product,grade,market_type,price_low_usd_per_kg,price_base_usd_per_kg,price_high_usd_per_kg,price_distribution,price_driver,volume_limit_t_per_year,source,notes,original_source,price_evidence_grade,capacity_evidence_grade,source_url,replacement_status
2030,all,none,none,none,0,0,0,fixed,none,0,model_default,No saleable product.,model_default,D,D,,unchanged_scenario
2030,all,carbonate_product,aggregate,domestic,0.008,0.018,0.045,triangular,construction_materials,500000000,model_default,Aggregate-like mineralization product; high case assumes durable-carbon premium/tipping value is separate.,model_default,D,C,,requires_construction_material_price_replacement
2030,all,carbon_monoxide,chemical_grade,domestic,0.18,0.22,0.65,triangular,chemical_intermediate,20000000,model_default,Bulk CO is low value; high case represents local integrated syngas/CO offtake.,model_default,D,D,,requires_public_price_and_capacity_replacement
2030,all,methanol,chemical_grade,domestic,0.28,0.59,0.85,triangular,methanol_oil_gas,106186000,methanex_current_price_plus_scenario_range,Base price uses Methanex China April 2026 CPCP; low/high and future years remain sensitivity ranges. Base is commodity-like methanol; high case represents low-carbon premium.,model_default,B_for_base_C_for_forward_scenario,C,https://www.methanex.com/our-products/about-methanol/pricing/,base_price_replaced_capacity_screened
2030,all,formic_acid_equivalent,industrial_grade,domestic,0.45,0.70,1.40,triangular,specialty_chemical,8000000,model_default,Formate/formic acid market is limited and price-sensitive.,model_default,D,D,,requires_public_price_and_capacity_replacement
2030,all,ethylene,polymer_grade,domestic,0.75,1.05,1.80,triangular,olefin_market,33870000,industry_capacity_proxy_plus_model_price,Commodity ethylene price proxy; low-carbon premium uncertain.,model_default,D,C,https://www.guidechem.com/guideview/indunews/strategic-of-china-ethylene-industry-chain.html,capacity_screened_price_unchanged
2030,all,methane,grid_grade,domestic,0.35,0.60,1.60,triangular,gas_market,300000000,model_default,High case represents e-methane premium or gas balancing value.,model_default,D,D,,requires_public_price_and_capacity_replacement
2030,all,sustainable_aviation_fuel,astm_blending_component,domestic,1.21867,1.56867,3.20,triangular,jet_fuel_plus_saf_premium,35887668,eia_jet_benchmark_plus_saf_premium_scenario,"Low price is fossil jet benchmark; SAF base/high retain premium or TEA-cost sensitivity. Base assumes policy-supported SAF offtake, not fossil jet parity.",model_default,B_for_fossil_benchmark_C_for_saf_premium,C,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg,low_price_and_market_capacity_replaced
2040,all,carbonate_product,aggregate,domestic,0.008,0.020,0.055,triangular,construction_materials,600000000,model_default,Future durable-material premium sensitivity.,model_default,D,C,,requires_construction_material_price_replacement
2040,all,carbon_monoxide,chemical_grade,domestic,0.18,0.26,0.75,triangular,chemical_intermediate,25000000,model_default,CO premium can emerge in low-carbon chemicals.,model_default,D,D,,requires_public_price_and_capacity_replacement
2040,all,methanol,chemical_grade,domestic,0.30,0.59,0.95,triangular,methanol_oil_gas,150000000,methanex_current_price_plus_scenario_range,Base price uses Methanex China April 2026 CPCP; low/high and future years remain sensitivity ranges. Low-carbon methanol offtake sensitivity.,model_default,B_for_base_C_for_forward_scenario,C,https://www.methanex.com/our-products/about-methanol/pricing/,base_price_replaced_capacity_screened
2040,all,formic_acid_equivalent,industrial_grade,domestic,0.45,0.78,1.60,triangular,specialty_chemical,12000000,model_default,Electrochemical formate market expansion sensitivity.,model_default,D,D,,requires_public_price_and_capacity_replacement
2040,all,sustainable_aviation_fuel,astm_blending_component,eu_saf,1.21867,2.8,5.3,triangular,mandate_market,60000000,eia_jet_benchmark_plus_saf_premium_scenario,Low price is fossil jet benchmark; SAF base/high retain premium or TEA-cost sensitivity. Export mandate case.,model_default,B_for_fossil_benchmark_C_for_saf_premium,C,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S001623612600774X; https://www.sciencedirect.com/science/article/pii/S0196890425008787,low_price_and_market_capacity_replaced
2050,all,sustainable_aviation_fuel,astm_blending_component,eu_saf,1.21867,2.8,5.3,triangular,mandate_market,180000000,eia_jet_benchmark_plus_saf_premium_scenario,Low price is fossil jet benchmark; SAF base/high retain premium or TEA-cost sensitivity. High mandate and synthetic fuel share sensitivity.,model_default,B_for_fossil_benchmark_C_for_saf_premium,C,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=w&n=pet&s=eer_epjk_pf4_rgc_dpg; https://www.sciencedirect.com/science/article/pii/S001623612600774X; https://www.sciencedirect.com/science/article/pii/S0196890425008787,low_price_and_market_capacity_replaced
