category,dataset,status,source_url,local_path,coverage,model_use
CO2 point sources,GEM Global Coal Plant Tracker map,downloaded_processed,https://globalenergymonitor.org/projects/global-coal-plant-tracker/,data/raw/co2_sources/gem_coal_plant_map_2026-02-02.geojson; data/processed/co2_sources/gem_coal_china.csv,China coal power facilities; 6520 China features,source locations/capacity/status/annual CO2 fields
CO2 point sources,GEM Global Cement and Concrete Tracker map,downloaded_processed,https://globalenergymonitor.org/projects/global-cement-and-concrete-tracker/,data/raw/co2_sources/gem_cement_concrete_map_2025-07-15.geojson; data/processed/co2_sources/gem_cement_china.csv,China cement/clinker facilities; 1094 China features,cement source locations and capacity
CO2 point sources,GEM Global Iron and Steel Tracker map,downloaded_processed,https://globalenergymonitor.org/projects/global-iron-and-steel-tracker/,data/raw/co2_sources/gem_iron_steel_gist_map_2026-03.geojson; data/processed/co2_sources/gem_steel_china.csv,China iron and steel facilities; 458 China features,steel source locations/capacity/technology
CO2 point sources,GEM Global Chemicals Inventory map,downloaded_processed,https://globalenergymonitor.org/projects/global-chemicals-inventory/,data/raw/co2_sources/gem_chemicals_inventory_map_2025-11-10.geojson; data/processed/co2_sources/gem_chemicals_china.csv,China chemical facilities; 365 China features,chemical source locations and production class
CO2 point sources,Climate TRACE China CO2 country package,downloaded_processed,https://climatetrace.org/data,data/raw/co2_sources/climatetrace_CHN_co2_latest.zip; data/processed/co2_sources/climatetrace_china_key_sources_annual.csv,China source-level monthly CO2; processed annual key sectors 33066 rows,monthly/annual emissions/activity/coordinates/source type
CO2 point sources,EDGAR 2025 IEA-EDGAR CO2 fossil fuel table,downloaded,https://edgar.jrc.ec.europa.eu/dataset_ghg2025,data/raw/co2_sources/EDGAR_2025_IEA_EDGAR_CO2_1970_2024.zip,country-sector fossil CO2 1970-2024,national/sector benchmark and calibration
CO2 point sources,CEADs provincial CO2 inventories,downloaded_processed,https://www.ceads.net.cn/data/province/,data/raw/co2_sources/CEADs_2022_30_province_emission_inventory.xlsx; data/processed/co2_sources/ceads_2022_province_sector_account_long.csv; data/processed/co2_sources/ceads_2022_province_model_source_totals.csv; data/processed/co2_sources/source_inventory_calibration_ceads_2022.csv,China 2022 provincial emissions by IPCC sectoral approach; 30 province sheets; 11.41 GtCO2 Scope 1 parsed,province-sector calibration target for point-source network and source-layer gap diagnostics
CO2 point sources,CEADs provincial energy inventory 2022,downloaded_processed,https://www.ceads.net.cn/data/province/,data/raw/co2_sources/CEADs_2022_province_energy_inventory_en.xlsx; data/processed/co2_sources/ceads_2022_province_energy_long.csv; data/processed/co2_sources/ceads_2022_province_energy_summary.csv,China 2022 provincial energy consumption by sector and product; 14958 non-zero rows parsed,fuel-mix and capture-energy consistency check against province-sector CO2 inventory
CO2 point sources,CEADs provincial apparent emissions 1997-2022,downloaded_processed,https://www.ceads.net.cn/data/province/,data/raw/co2_sources/CEADs_1997_2022_apparent_emission_inventory.xlsx; data/processed/co2_sources/ceads_1997_2022_apparent_total_by_province.csv; data/processed/co2_sources/ceads_1997_2022_apparent_cement_process.csv,30 provinces over 1997-2022; 780 province-year total rows parsed,province historical trend and peaking-date consistency checks
CO2 point sources,CEADs 290-city emissions 1995/1997-2019,downloaded_processed,https://www.ceads.net.cn/data/city/,data/raw/co2_sources/CEADs_1997_2019_290_city_emission_inventory.xlsx; data/processed/co2_sources/ceads_1997_2019_city_emissions_long.csv; data/processed/co2_sources/ceads_2019_city_emissions_for_prefecture_join.csv; data/processed/co2_sources/ceads_city_prefecture_crosswalk.csv; data/processed/co2_sources/ceads_city_emissions_prefecture_summary.csv; data/processed/co2_sources/ceads_city_emission_lp_caps.csv,290 city labels with sparse 1995/1997-2019 city-year rows; 3929 city-year rows parsed; 170 rows in 2019; 290/290 labels crosswalked to current prefecture codes; 288 prefecture summaries; 287 non-DAC LP cap rows,city emission trend validation; interactive-map history layer; non-DAC city-emission caps in optimization
CO2 point sources,CEADs 2010 24-city 45-sector production inventory,downloaded_processed,https://www.ceads.net.cn/data/city/,data/raw/co2_sources/CEADs_2010_24_city_45_sector_production_inventory.zip; data/processed/co2_sources/ceads_2010_24_city_sector_file_registry.csv; data/processed/co2_sources/ceads_2010_24_city_sector_emissions_long.csv,24 historical city energy workbooks plus combined sector CO2 workbook; 6903 city-sector-emission rows parsed,historical city-sector emission-pattern benchmark and future crosswalk calibration target
Storage,China county/province CO2 storage potential and injection rate Figshare 27646707,downloaded_processed,https://doi.org/10.6084/m9.figshare.27646707,data/raw/storage/*; data/processed/storage/provincial_level_co2_storage_figshare_27646707.csv; data/processed/storage/county_level_co2_storage_figshare_27646707.csv,China county/province DSA/EOR storage potential and injection capability plus rasters,storage capacity/injection-rate/regional constraints
Storage,Scientific Data 2025 storage article,found_cited,https://www.nature.com/articles/s41597-025-04875-3,data/raw/storage/figshare_27646707_metadata.json,Article behind Figshare 27646707 storage dataset,method citation for fine-grid China storage data
Storage,Global CCS Institute China CCUS Annual Report 2023 Chinese PDF,found_blocked,https://www.globalccsinstitute.com/wp-content/uploads/2025/10/CCS-Progress-in-China-CN.pdf,,China CCUS project/basin/policy report; Cloudflare blocked shell download,background and cross-check for basin/project narrative
Transport,Geofabrik China OSM latest PBF,downloaded_verified,https://download.geofabrik.de/asia/china.html,data/raw/transport/geofabrik_china_osm/china-latest.osm.pbf,OpenStreetMap China roads/rail/waterways/POIs; MD5 verified,network distance/port access/hub routing/candidate corridors
Transport,UNECE UN/LOCODE China locations,downloaded_processed,https://service.unece.org/trade/locode/cn.htm,data/raw/transport/UNECE_UNLOCODE_CN.html; data/processed/transport/unece_unlocode_cn_water_ports.csv; data/processed/transport/unece_unlocode_cn_water_ports.geojson,1696 China logistics locations; 767 water-port function entries; 371 water ports with coordinates,port/hub candidates and distance-to-port features
Transport,World Bank International Portsheds,partly_downloaded,https://datacatalog.worldbank.org/infrastructure-data/search/dataset/0060145/international-portsheds,data/raw/transport/worldbank_portsheds_all_ports_shapefile.zip; data/raw/transport/worldbank_portsheds_major_ports.csv,global portshed polygons; major CSV has no CHN rows,fallback global port accessibility; not primary China port points
Transport,NGA World Port Index,downloaded_processed,https://msi.nga.mil/Publications/WPI; https://ckan.rdas.live/dataset/ef461b79-7a50-4ffc-8327-31d71a690c6b/resource/23538e38-830f-4df1-b69d-4469fa6ee7af/download/updatedpub150.csv,data/raw/transport/nga_world_port_index_updatedpub150.csv; data/processed/transport/nga_world_port_index_china_ports.csv,global port index; 66 China port rows processed from CKAN mirror,cross-check for port coordinates and attributes
Transport cost,McCoy and Rubin CO2 pipeline transport cost model PDF,downloaded,https://lpdd.org/wp-content/uploads/2020/02/McCoy2008-Pipeline-cost-Technical.pdf,data/raw/transport/co2_pipeline_cost_models/McCoy_Rubin_2008_CO2_pipeline_transport_cost_model.pdf,classic CO2 pipeline cost equations,pipeline scale economies and cost benchmark
Transport cost,FECM/NETL CO2 Transport Cost Model CO2_T_COM 2024/2025,reduced_order_implemented_excel_download_blocked,https://www.netl.doe.gov/energy-analysis/details?id=42e3c409-b88f-467f-bff0-fadb92a68676,data/raw/transport/co2_pipeline_cost_models/; src/co2alloc/pipeline_cost.py,Excel-based CO2 pipeline transport cost model; local Excel download attempts reset/timed out; reduced-order McCoy/Rubin implementation now used at runtime,authoritative cost model reference and dynamic pipeline cost by distance/flow/diameter
CO2 specification,SAMR draft CO2 pipeline medium quality requirements,downloaded_processed,https://std.samr.gov.cn/gb/search/gbDetailed?id=F0530674AAF8D500E05397BE0A0A7BF6,data/raw/transport/co2_pipeline_specifications/SAMR_draft_CO2_pipeline_medium_quality_requirements.pdf; data/processed/transport/samr_draft_co2_pipeline_medium_quality_requirements.csv,China draft/specification source for CO2 purity and impurities entering pipelines,CO2 purity/water/H2S/total sulfur/non-condensables constraints
CO2 specification,NASEM Appendix H CO2 stream impurities and transport purity requirements,found_cited,https://nap.nationalacademies.org/read/27732/chapter/22,,CO2 impurity profiles by source and recommended pipeline/shipping limits,source-dependent impurity assumptions and destination specs
Electricity price,"NDRC provincial transmission and distribution tariff table, third regulatory cycle",downloaded_text_extracted,https://www.ndrc.gov.cn/xwdt/tzgg/202305/t20230515_1355748.html,data/raw/electricity/NDRC_2023_provincial_transmission_distribution_tariff_table.pdf; data/raw/electricity/NDRC_2023_provincial_transmission_distribution_tariff_table_utf8.txt,provincial grid T&D tariff tables/line loss rates,industrial electricity price component by province
Electricity hourly load,"China provincial hourly load and transmission, Zenodo 8322210",downloaded_processed,https://zenodo.org/records/8322210,data/raw/electricity/zenodo_8322210_china_provincial_hourly_load/*; data/processed/electricity/china_provincial_hourly_load_zenodo_8322210_long.csv; data/processed/electricity/china_interprovincial_transmission_hvdc_zenodo_8322210.csv,31 mainland provinces; 8760 hourly loads; HVAC/HVDC province links,hourly demand shape and grid-factor reconstruction
Electricity carbon factor,MEE/NBS 2023 national/regional/provincial power CO2 emission factors,downloaded_processed,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202512/t20251231_1139517.html,data/raw/electricity/MEE_NBS_2023_power_CO2_emission_factors.pdf; data/processed/electricity/mee_nbs_2023_power_co2_emission_factors.csv,2023 national/regional/provincial average power CO2 factors,annual province grid emission baseline
Electricity carbon factor,CCN/NCSC 2024 regional grid baseline OM/BM factors,downloaded_processed,https://www.ccn.ac.cn/download/7923.html,data/raw/electricity/CCN_NCSC_2024_regional_grid_baseline_emission_factors.pdf; data/processed/electricity/ccn_ncsc_2024_regional_grid_baseline_emission_factors.csv,2024 regional-grid OM and BM factors,marginal/baseline grid emissions for project accounting
Electricity hourly generation,CarbonMonitor-Power Figshare hourly/daily/global power dataset,downloaded_verified_no_china,https://doi.org/10.6084/m9.figshare.21938102.v2,data/raw/electricity/CarbonMonitor_Power_Data_hourly.csv; data/raw/electricity/CarbonMonitor_Power_Data_daily.csv,34 countries/regions hourly power by type; current v2 has no China rows,method reference and non-China comparison; not direct China hourly factor
Electricity spot price,China provincial spot market hourly/15-min prices,found_partial_not_unified,https://www.gov.cn/lianbo/difang/202312/content_6922074.htm,,Official spot markets exist (Shanxi first formal market; provincial exchanges publish partial/daily info; high-resolution data often behind exchange/data products),use provincial power exchange feeds/manual scraping or scenario proxy
Green hydrogen cost,IEA Global Hydrogen Review 2025 and assumptions annex,downloaded_processed,https://www.iea.org/reports/global-hydrogen-review-2025,data/raw/hydrogen/IEA_GlobalHydrogenReview2025.pdf; data/raw/hydrogen/IEA_GlobalHydrogenReview2025_AssumptionsAnnex.pdf; data/processed/hydrogen/iea_ghr2025_china_green_hydrogen_assumptions.csv,"China electrolyser CAPEX/efficiency, renewable LCOE, CO2 T&S cost for 2024/2030 STEPS",green H2 local production cost assumptions
Green hydrogen learning,IRENA Green Hydrogen Cost Reduction 2020,downloaded_text_extracted,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,data/raw/hydrogen/IRENA_Green_hydrogen_cost_2020.pdf; data/raw/hydrogen/IRENA_Green_hydrogen_cost_2020_utf8.txt,electrolyser learning and 2030/2050 cost-reduction pathways,2030/2040/2050 learning-rate scenarios
Product regional markets,China Statistical Yearbook 2024 official tables,downloaded_images_partly_normalized,https://www.stats.gov.cn/sj/ndsj/2024/indexeh.htm,data/raw/markets/china_statistical_yearbook_2024/E13-13_Output_of_Main_Industrial_Products_by_Region.jpg; data/raw/markets/china_statistical_yearbook_2024/E13-15_Production_Capacity_of_Main_Industrial_Products.jpg; data/raw/markets/china_statistical_yearbook_2024/E09-19_Output_of_Main_Energy_Products_by_Region.jpg; data/processed/markets/nbs_market_observations_2023.csv; data/processed/markets/product_destination_capacity_china_2023.csv,"province output of main industrial products and national production capacity, 2023 data in 2024 yearbook",regional product market capacity/production ceilings using normalized observations and documented stoichiometric algorithms
Product regional markets,NBS easyquery API,found_blocked,https://data.stats.gov.cn/easyquery.htm,data/raw/markets/NBS_API_BLOCKED.txt,official dynamic province/year product indicators; current shell/API returns 403,structured product series if accessed through browser/session later
Carbon policy / price,CCN national carbon market latest snapshot,downloaded_processed,https://www.ccn.ac.cn/cets,data/raw/policy/ccn_national_carbon_market_latest.html; data/processed/policy/carbon_market_latest_snapshot.csv,CEA and CCER latest snapshot captured on 2026-04-24,carbon price/credit reference and scenario initialization
Carbon policy / regulation,State Council Carbon Emissions Trading Interim Regulation No.775,downloaded,https://www.gov.cn/zhengce/content/202402/content_6930137.htm,data/raw/policy/StateCouncil_2024_carbon_emissions_trading_regulation_no775.html,national ETS legal basis effective 2024-05-01,policy constraints/compliance cost
Carbon policy / allocation,"MEE 2024-2025 allowance plan for steel, cement, aluminium",downloaded,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202511/t20251118_1134175.html,data/raw/policy/MEE_2025_final_steel_cement_aluminum_allowance_plan.pdf,allowance allocation for steel/cement/aluminium industries,sectoral ETS coverage and allowance scenarios
